poetID,value,value,sourceNpv,sourceNpv,ccy,maturityDate,ttm,maID,gpName,notional
10342048,1178.4519496576795,1203.1230582858532,-4510670.1614,-4491696.1288,EUR,2034-10-16,19.296372,DRV-15012659-09,HHWOHNBAUHBG,10000000.0000
10345075,0.6092929036819542,0.6224341716782386,704.8326,704.8360,EUR,2015-10-01,0.254620,DRV-22056656-09,HEINTZEKOLUD,50833.2700
10345954,819.615558013896,946.7309098160724,914677.4976,1117113.3338,EUR,2020-06-30,5.002053,DRV-15013768-09,VBBREMEN,6000000.0000
10346776,771.9522407776615,741.3156522706995,2041600.0197,2028790.9666,EUR,2020-09-15,5.212867,DRV-10000301-05,VBDUDWEILER,10000000.0000
10346782,394.02370654266093,383.958153506354,620713.5342,617265.6249,EUR,2019-04-30,3.832991,DRV-20009375-03,VBBRACKENHM,5000000.0000
10354722,746.0271676386212,760.7491118277679,185785.8272,200679.8618,EUR,2020-03-31,4.752908,DRV-22058786-09,BUERWINDWIE,1826086.9800
10354748,327.17426323613336,333.63014144290156,123857.2547,133786.6109,EUR,2020-03-31,4.752908,DRV-22058788-09,WINDPARKWIE,1217391.3200
10354764,327.17426323613336,333.63014144290156,123857.2547,133786.6109,EUR,2020-03-31,4.752908,DRV-22058789-09,WINDPARK2WIE,1217391.3200
10357829,130.85253748407092,130.2057583531886,474533.6361,473650.5064,EUR,2017-09-18,2.220396,DRV-21069048-05,VBESSEN,5000000.0000
10358109,44301.48275902541,41542.781506634055,2512204.7668,2507055.9614,EUR,2039-09-19,24.221765,DRV-20000250-00,RBSUEDLWEINS,5000000.0000
10358559,1393.0687205959025,1469.5437137379415,131048.7796,158792.4530,EUR,2016-08-30,1.169062,10358559,WINKELWALIM,3500000.0000
10371965,1816.8087090573804,1650.8914925962713,858581.6406,851376.7651,EUR,2024-09-23,9.234770,DRV-20019006-05,SPARBKREG,3000000.0000
